"","macs2","Freq"
"1","2",0.000570450656018254
"2","3",0.00114090131203651
"3","4",0.00285225328009127
"4","7",0.0416428978893326
"5","8",0.000570450656018254
"6","10",0.000570450656018254
"7","11",0.000570450656018254
"8","23",0.00285225328009127
"9","24",0.0108385624643468
"10","25",0.00171135196805476
"11","26",0.000570450656018254
"12","27",0.00114090131203651
"13","30",0.000570450656018254
"14","32",0.00171135196805476
"15","33",0.000570450656018254
"16","34",0.000570450656018254
"17","35",0.0062749572162008
"18","37",0.00228180262407302
"19","39",0.00114090131203651
"20","40",0.000570450656018254
"21","41",0.000570450656018254
"22","42",0.000570450656018254
"23","43",0.00114090131203651
"24","44",0.00570450656018254
"25","45",0.00114090131203651
"26","46",0.00228180262407302
"27","47",0.00114090131203651
"28","56",0.000570450656018254
"29","59",0.0102681118083286
"30","60",0.0393610952652596
"31","66",0.00171135196805476
"32","68",0.000570450656018254
"33","89",0.00399315459212778
"34","90",0.00570450656018254
"35","92",0.000570450656018254
"36","95",0.000570450656018254
"37","96",0.000570450656018254
"38","98",0.000570450656018254
"39","104",0.00114090131203651
"40","106",0.000570450656018254
"41","107",0.000570450656018254
"42","111",0.000570450656018254
"43","115",0.000570450656018254
"44","117",0.000570450656018254
"45","118",0.00114090131203651
"46","119",0.000570450656018254
"47","121",0.000570450656018254
"48","122",0.00456360524814604
"49","124",0.0136908157444381
"50","125",0.000570450656018254
"51","126",0.000570450656018254
"52","128",0.00228180262407302
"53","131",0.000570450656018254
"54","135",0.000570450656018254
"55","136",0.000570450656018254
"56","138",0.000570450656018254
"57","144",0.0062749572162008
"58","145",0.000570450656018254
"59","149",0.000570450656018254
"60","150",0.000570450656018254
"61","153",0.000570450656018254
"62","155",0.000570450656018254
"63","157",0.00228180262407302
"64","158",0.00114090131203651
"65","160",0.00228180262407302
"66","162",0.00114090131203651
"67","164",0.00114090131203651
"68","165",0.000570450656018254
"69","166",0.000570450656018254
"70","168",0.00114090131203651
"71","216",0.000570450656018254
"72","218",0.00456360524814604
"73","219",0.000570450656018254
"74","225",0.000570450656018254
"75","227",0.00456360524814604
"76","231",0.00684540787221905
"77","238",0.000570450656018254
"78","255",0.000570450656018254
"79","258",0.00171135196805476
"80","259",0.00171135196805476
"81","260",0.00114090131203651
"82","261",0.00114090131203651
"83","262",0.000570450656018254
"84","264",0.000570450656018254
"85","266",0.000570450656018254
"86","267",0.000570450656018254
"87","278",0.000570450656018254
"88","280",0.0222475755847119
"89","281",0.00171135196805476
"90","283",0.000570450656018254
"91","285",0.000570450656018254
"92","286",0.00114090131203651
"93","287",0.00228180262407302
"94","288",0.000570450656018254
"95","289",0.000570450656018254
"96","290",0.00399315459212778
"97","291",0.000570450656018254
"98","294",0.000570450656018254
"99","295",0.00228180262407302
"100","298",0.000570450656018254
"101","303",0.000570450656018254
"102","304",0.00114090131203651
"103","305",0.00114090131203651
"104","306",0.000570450656018254
"105","309",0.000570450656018254
"106","323",0.000570450656018254
"107","325",0.000570450656018254
"108","326",0.000570450656018254
"109","327",0.00171135196805476
"110","328",0.00114090131203651
"111","330",0.00114090131203651
"112","337",0.000570450656018254
"113","339",0.00285225328009127
"114","340",0.00114090131203651
"115","341",0.00171135196805476
"116","342",0.00114090131203651
"117","343",0.0233884768967484
"118","344",0.00285225328009127
"119","346",0.000570450656018254
"120","347",0.000570450656018254
"121","350",0.000570450656018254
"122","351",0.000570450656018254
"123","353",0.00399315459212778
"124","356",0.00228180262407302
"125","358",0.00171135196805476
"126","360",0.00114090131203651
"127","361",0.000570450656018254
"128","362",0.000570450656018254
"129","363",0.000570450656018254
"130","364",0.00114090131203651
"131","365",0.00114090131203651
"132","367",0.000570450656018254
"133","373",0.000570450656018254
"134","375",0.000570450656018254
"135","379",0.000570450656018254
"136","381",0.00114090131203651
"137","382",0.00285225328009127
"138","383",0.000570450656018254
"139","384",0.000570450656018254
"140","385",0.00114090131203651
"141","390",0.000570450656018254
"142","398",0.00285225328009127
"143","404",0.000570450656018254
"144","405",0.000570450656018254
"145","407",0.000570450656018254
"146","412",0.000570450656018254
"147","418",0.00798630918425556
"148","419",0.00684540787221905
"149","420",0.0319452367370223
"150","421",0.00285225328009127
"151","423",0.000570450656018254
"152","424",0.000570450656018254
"153","425",0.00114090131203651
"154","427",0.00114090131203651
"155","428",0.0182544209925841
"156","429",0.00912721049629207
"157","430",0.00969766115231033
"158","431",0.031374786081004
"159","432",0.000570450656018254
"160","433",0.0216771249286937
"161","434",0.00114090131203651
"162","440",0.00171135196805476
"163","441",0.00114090131203651
"164","442",0.00171135196805476
"165","443",0.00228180262407302
"166","444",0.000570450656018254
"167","449",0.000570450656018254
"168","450",0.000570450656018254
"169","451",0.000570450656018254
"170","452",0.00114090131203651
"171","453",0.000570450656018254
"172","454",0.00798630918425556
"173","455",0.0182544209925841
"174","456",0.00570450656018254
"175","457",0.000570450656018254
"176","458",0.00114090131203651
"177","459",0.00228180262407302
"178","460",0.00114090131203651
"179","461",0.00114090131203651
"180","462",0.000570450656018254
"181","463",0.00114090131203651
"182","464",0.000570450656018254
"183","465",0.00171135196805476
"184","466",0.00228180262407302
"185","467",0.00114090131203651
"186","468",0.00228180262407302
"187","471",0.00399315459212778
"188","473",0.000570450656018254
"189","494",0.000570450656018254
"190","495",0.000570450656018254
"191","503",0.000570450656018254
"192","505",0.000570450656018254
"193","509",0.000570450656018254
"194","511",0.00342270393610953
"195","512",0.000570450656018254
"196","513",0.00114090131203651
"197","514",0.000570450656018254
"198","516",0.000570450656018254
"199","518",0.000570450656018254
