"","macs2","Freq"
"439","1424",1
"440","1427",1
"441","1430",1
"442","1432",2
"443","1434",1
"444","1443",1
"445","1451",3
"446","1452",1
"447","1453",1
"448","1456",1
"449","1459",1
"450","1462",2
"451","1470",1
"452","1487",1
"453","1508",1
"454","1515",2
"455","1516",1
"456","1518",1
"457","1536",1
"458","1539",1
"459","1547",1
"460","1549",2
"461","1550",1
"462","1559",1
"463","1574",1
"464","1576",1
"465","1592",1
"466","1608",2
"467","1609",3
"468","1611",3
"469","1619",1
"470","1620",8
